id;field;operator;string_value;classification_rule_id
1;AMOUNT;CONTAINS;Village Liberian Dollar bleeding-edge;1
2;LABEL;CONTAINS;Belize Dollar full-range Wyoming;1
3;AMOUNT;GREATEROREQUALTHAN;Tuna deposit;3
4;AMOUNT;GREATEROREQUALTHAN;Division;4
5;DATE;EQUALS;Sports;5
6;DATE;CONTAINS;Minnesota Flats AGP;6
7;LABEL;EQUALS;Credit Card Account;7
8;LABEL;CONTAINS;Ergonomic Soft Table Automotive;8
9;LABEL;GREATEROREQUALTHAN;port functionalities;9
10;AMOUNT;CONTAINS;Investment Account Cambridgeshire invoice;10
11;AMOUNT;CONTAINS;Investment Account Cambridgeshire invoice;2
