id;label;category_id
1;Alimentation;1
2;Coiffeur;1
3;Dons aux oeuvre;1
4;Habillement;1
5;Retrait de liquidités;1
6;Tous frais;2
7;Escalade;3
8;Frais bancaire;3
9;Internet;3
10;Musique;3
11;Téléphone;3
12;Assurance;4
13;Eau;4
14;Electricité;4
15;Gaz;4
16;Loyer;4
17;Achats;5
18;Ski;5
19;VTT;5
20;Vacances;5
21;Weekend, sorties;5
22;Habitation;6
23;Revenu;6
24;Assurance;7
25;Entretien;7
26;Exceptionnel (achats complémentaires);7
27;Quotidient (carburant, péage, ...);7
28;Avion;8
29;Commun;8
30;Train;8
31;Revenus;9
32;Virement compte joint;9

