id;date;amount;label;identifier;bank_account_id
1;2020-07-01;-50.32;RESTO. LA BONNE FOURCHETTE;;1
2;2020-07-31;1854;VIR. MY COMPANY;;1
3;2020-07-03;-32.56;CB. PAYPAL;;1
4;2020-07-04;-72.99;CB. AMAZON;;1
5;2020-07-04;254.6;VIR. RBMT VACANCES;;1
6;2020-07-06;-3.6;CB. BOULANGERIE DU COIN;;1
7;2020-07-07;-20;CB. COIFFEUR;;1
8;2020-07-08;-112.33;CB. INTERMARCHE;;1
9;2020-07-09;-5.6;CB. PAYPAL;;1
10;2020-07-09;-182;CB. PAYPAL;;1
11;2020-07-10;-650;VIR. LOYER;;1
12;2020-07-11;-5.3;CB. BOULANGERIE DU COIN;;1
13;2020-07-11;-14.8;CB. BOUCHERIE LES 3 PTITS COCHONS;;1
14;2020-07-12;-1.6;CB. BOULANGERIE DU COIN;;1
15;2020-07-12;-2.7;CB. MABANQUE FRAIS;;1
16;2020-07-13;-2.3;CB. BOULANGERIE DU COIN;;1
17;2020-07-15;-88.94;CB. INTERMARCHE;;1
18;2020-07-15;-4.1;CB. BOULANGERIE DU COIN;;1
19;2020-07-17;-2.3;CB. BOULANGERIE DU COIN;;1
20;2020-07-19;-2.1;CB. BOULANGERIE DU COIN;;1
21;2020-07-21;-8;CB. BOUCHERIE LES 3 PTITS COCHONS;;1
22;2020-07-22;-92.3;CB. INTERMARCHE;;1
23;2020-07-23;-52.11;CB. DAC D'ICI ET D'AILLEURS;;1
24;2020-07-23;-20;RETRAIT DAB HITUDE;;1
25;2020-07-25;-2.3;CB. BOULANGERIE DU COIN;;1
26;2020-07-31;-70.65;CB. INTERMARCHE;;1
27;2020-08-31;1854;VIR. MY COMPANY;;1
28;2020-08-01;1854;CB. BOULANGERIE DU COIN;;1
29;2020-08-10;-650;VIR. LOYER;;1
30;2020-08-12;-20;RETRAIT DAB HITUDE;;1
31;2020-08-14;-14.5;CB. BOUCHERIE LES 3 PTITS COCHONS;;1
32;2020-08-14;-4.5;CB. BOULANGERIE DU COIN;;1
33;2020-08-10;-113.2;CB. INTERMARCHE;;1
